module_name,class_name,method_name,startLine,CBM,m_FAN_IN,m_FAN_OUT,IDMC,EDMC,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,m_variablesQty,parametersQty,m_modifier
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readPackedDouble,577,0,0,0,0,0,False,0,2,2,0,0
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readPackedBool,583,0,0,0,0,0,False,0,1,1,0,0
io.protostuff,io.protostuff.ByteArrayInputEx,io.protostuff.ByteArrayInputEx.readPackedEnum,589,0,0,0,0,0,False,0,2,2,0,0
io.protostuff,io.protostuff.ProtobufOutputEx,io.protostuff.ProtobufOutputEx.writeRawLittleEndian64,507,0,0,0,0,0,False,0,0,0,0,0
io.protostuff,io.protostuff.ProtobufOutputEx,io.protostuff.ProtobufOutputEx.writeFloat,111,0,0,0,0,0,False,0,1,1,0,0
io.protostuff,io.protostuff.ProtobufOutputEx,io.protostuff.ProtobufOutputEx.computeRawVarint32Size,559,2,2,0,0,2,False,0,0,0,0,0
io.protostuff,io.protostuff.ProtobufOutputEx,io.protostuff.ProtobufOutputEx.writeDouble,116,0,0,0,0,0,False,0,1,1,0,0
io.protostuff,io.protostuff.ProtobufOutputEx,io.protostuff.ProtobufOutputEx.computeRawVarint64Size,579,0,0,0,0,0,False,0,0,0,0,0
io.protostuff,io.protostuff.ProtobufOutputEx,io.protostuff.ProtobufOutputEx.encodeZigZag32,613,0,0,0,0,0,False,0,0,0,0,0
io.protostuff,io.protostuff.ProtobufOutputEx,io.protostuff.ProtobufOutputEx.writeBool,121,0,0,0,0,0,False,0,1,1,0,0
io.protostuff,io.protostuff.ProtobufOutputEx,io.protostuff.ProtobufOutputEx.encodeZigZag64,627,0,0,0,0,0,False,0,0,0,0,0
io.protostuff,io.protostuff.ProtobufOutputEx,io.protostuff.ProtobufOutputEx.writeBytes,139,0,0,0,0,0,False,0,1,1,0,0
io.protostuff,io.protostuff.ProtobufOutputEx,io.protostuff.ProtobufOutputEx.writeEnum,126,0,0,0,0,0,False,0,1,1,0,0
io.protostuff,io.protostuff.ProtobufOutputEx,io.protostuff.ProtobufOutputEx.toOutputStream,649,1,1,0,0,1,False,0,0,0,0,0
